,ID,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
0,1,7466.42,413.162,5761.0,5625.45,489.403,3923.84,3097.11,6766.42,2829.13,6742.57,879.812,5276.29,592.313,950.125,5509.46,1970.85,3628.95,801.184,927.115,4704.14,6378.42,340.949,2695.57,527.268,4736.75,601.843,6639.76
1,2,7235.26,6037.35,1027.56,6085.14,1618.05,6668.54,2513.99,1051.69,7268.22,6908.18,535.296,7425.84,1905.26,1655.73,3123.39,748.992,967.298,5533.47,5103.04,5216.12,4885.27,4366.79,1234.14,3298.11,6942.68,1070.44,842.101
2,3,7425.08,6969.98,1177.94,7408.93,861.061,7644.43,814.458,1504.29,7002.63,6086.56,522.798,7317.65,1309.16,1629.13,4334.83,745.727,983.231,1981.39,6204.54,7021.69,5704.41,4897.45,1789.99,2206.1,6928.93,1036.56,831.441
3,4,7119.12,1731.62,6311.93,6441.61,465.979,7128.42,1649.12,6935.22,2176.8,690.408,1675.45,812.751,976.34,1080.47,3146.34,2949.47,5877.27,959.344,5794.15,1045.57,5572.9,586.287,685.906,1287.0,6734.72,824.584,6883.61
4,5,7519.55,8130.26,1482.54,7879.53,1001.21,7937.6,4122.53,1094.51,7951.44,8001.35,550.508,7734.13,2230.53,1633.58,4345.24,700.491,1353.27,7636.07,6996.76,7413.43,4596.13,4511.7,1413.52,3283.94,7937.68,1857.8,1336.92
5,6,4992.26,4824.18,4960.39,6553.37,405.763,7714.71,4572.04,6903.7,3525.64,2061.0,3252.31,719.95,1383.88,1021.36,2698.05,2578.39,4233.97,758.989,4923.17,2495.27,5064.41,508.409,994.392,1169.55,7041.81,861.838,4379.73
6,7,7130.13,945.708,5780.2,5396.83,916.42,1082.96,949.238,7812.61,2386.34,2839.1,1796.08,2032.11,807.867,956.057,696.369,3364.14,3853.58,482.847,3767.08,3388.45,4653.78,389.505,2306.97,848.15,6918.69,790.072,3324.03
7,8,6864.45,4817.21,2212.3,6358.11,6099.54,6475.57,396.395,1654.3,7072.21,7281.85,652.807,7730.12,4811.27,3256.56,1777.14,5111.59,2836.99,751.914,3426.67,5825.12,3163.32,4311.05,4928.21,1074.07,7031.05,2837.78,985.935
8,9,6559.95,6917.93,5176.66,5509.89,549.555,6661.18,6324.52,7027.78,6145.11,5859.35,1663.71,2229.99,5820.35,281.42,7356.68,2014.71,6124.42,7290.46,6037.09,401.188,5772.71,4928.22,622.97,2570.38,2184.83,1859.13,2248.72
9,10,5948.73,4661.13,593.902,3385.59,3565.9,5938.8,5891.22,4974.21,6203.0,1121.22,4946.59,4409.31,347.072,3323.68,688.999,979.544,5645.34,5666.18,4625.51,4983.57,4398.58,4048.61,685.517,528.016,5736.14,328.057,5091.98
10,11,7893.82,364.674,8038.41,7935.54,475.654,5355.64,5943.66,6130.46,1878.37,3560.88,737.846,3524.59,540.588,931.327,4051.32,1604.5,3825.42,2621.89,600.168,5176.67,5577.81,376.238,4258.17,591.742,7372.95,634.603,5678.1
11,12,7063.33,950.971,6150.42,7023.34,933.634,1869.34,756.133,5180.77,1494.77,4039.58,410.831,2353.57,537.307,848.697,836.733,3046.5,3806.38,586.305,3405.41,4409.81,4134.4,343.494,2654.43,1295.94,6703.06,867.582,4762.67
12,13,6861.84,7731.39,7195.7,7454.27,309.881,6175.9,1190.0,7969.39,2610.86,7913.85,1990.17,969.468,2061.16,1039.11,8090.92,1897.07,5994.28,4764.14,5099.12,3508.19,5945.45,1144.87,3698.04,1084.44,7395.04,1363.67,6478.75
13,14,7671.96,758.217,7721.51,7650.51,829.249,1279.85,1044.9,7860.87,2613.75,4862.25,784.912,2225.52,759.315,913.799,633.368,3896.42,4014.35,821.187,5263.67,6346.32,6452.72,353.476,2453.67,903.999,7274.33,813.916,5223.12
14,15,7469.05,7645.84,7719.04,7287.34,839.362,5509.35,3237.78,2270.6,7405.4,7301.6,628.034,7941.02,4723.8,1559.85,3654.66,978.791,1117.15,6596.44,6822.94,7492.29,5974.96,3355.55,1102.16,4904.77,7970.28,3464.21,1572.1
15,16,6748.15,5888.97,4351.3,3295.54,434.296,6609.57,5688.77,6713.91,3278.66,5153.23,493.897,2462.47,5077.28,280.621,5624.97,2712.51,6757.22,6982.08,3898.88,492.298,4376.79,1211.67,633.456,2820.67,3021.03,3830.62,5404.45
16,17,7591.58,7959.42,2800.05,7868.75,743.31,7996.8,5736.26,738.806,8086.24,8012.68,539.694,7154.22,4787.15,1517.93,5945.04,663.302,1258.4,3993.41,6940.15,7521.92,5963.16,5971.04,1603.67,4817.51,8045.45,3594.75,1483.42
17,18,6789.8,7257.6,7440.3,6647.54,280.836,7362.51,735.469,7402.96,3725.38,7611.24,923.651,976.77,2310.74,1446.66,7370.1,1723.17,5554.26,6717.72,3231.0,2075.72,4098.09,920.57,3843.39,836.654,6895.79,1111.49,5974.74
18,19,7448.13,7635.62,1362.69,7435.56,2125.77,7760.56,6023.86,743.073,7982.49,7896.53,613.806,8163.36,4302.75,1683.06,5229.54,600.259,1377.88,2397.95,6447.99,6837.99,3982.64,5200.13,3195.22,6598.46,7941.11,1464.58,1279.29
19,20,4969.23,5529.75,424.774,3109.36,4904.96,5269.33,4557.78,731.309,544.707,5857.52,1075.04,2834.6,685.091,1125.08,1754.47,2879.39,2736.82,6019.75,941.781,2042.65,4528.78,332.805,797.29,4183.81,5334.13,5284.09,1486.48
20,21,7536.53,8218.2,1481.45,8201.69,954.187,8416.93,5856.48,1339.78,7906.49,7575.9,534.004,8089.93,2040.72,1408.04,5314.03,660.474,1257.04,6379.94,7239.1,7759.53,6300.08,4012.68,1725.09,4063.76,8103.62,1091.34,1163.59
21,22,7846.28,340.103,7904.36,8058.7,397.57,5299.43,1004.03,7617.33,2243.51,5039.02,713.138,5009.84,582.544,1019.07,5585.82,1740.56,3483.41,1989.91,694.285,4877.14,5665.22,357.389,2813.78,600.578,7094.91,661.19,4868.83
22,23,7761.09,371.089,8215.58,8283.77,639.726,2078.94,1063.86,6191.64,3242.3,6308.53,839.02,3820.49,656.259,890.686,5952.45,2190.03,3083.72,561.309,846.298,5815.25,7163.13,350.098,1901.24,599.165,7193.94,563.0,1836.93
23,24,1267.78,-355.456,-103.276,-145.822,444.444,-306.795,-136.986,716.204,2519.52,-3024.25,-252.544,3085.63,1690.06,737.352,1022.04,2088.47,2538.01,341.801,1530.35,-770.46,360.588,1672.2,1490.82,532.594,520.717,2805.35,-717.973
24,25,1302.93,-540.333,1977.22,1333.62,2062.17,-196.967,2495.15,-1309.06,1256.08,-2394.8,-819.796,1365.65,1136.42,990.314,400.961,1248.56,2511.5,1359.67,1703.52,-404.717,-279.432,-283.726,721.058,1417.11,243.903,-850.366,-1318.78
25,26,993.072,254.833,-241.745,-98.558,442.144,382.24,-833.538,-1551.96,1809.83,1740.28,1104.64,2637.48,1707.66,-28.8622,960.212,1419.93,2298.46,209.575,0.0,-677.37,-202.489,-167.032,458.775,557.887,1532.6,2155.73,-2221.68
26,27,1511.41,1197.75,-987.29,660.08,358.506,570.679,821.812,2456.76,2918.3,474.331,468.595,2881.53,2525.76,160.962,407.007,1914.41,4759.16,4968.71,3641.2,2196.1,1423.64,3376.32,1671.52,421.174,776.332,858.048,3379.66
27,28,6222.25,7126.45,6560.08,5510.06,486.451,5338.44,410.027,4997.18,2193.42,574.184,356.097,2528.62,1449.03,128.312,457.052,1740.68,5256.24,4223.5,5347.28,5398.54,3244.46,409.484,778.551,333.069,5617.78,1154.48,3505.25
28,29,1207.83,-182.914,-1044.42,-555.556,458.601,758.892,964.668,-2339.78,1347.75,-884.897,522.095,2464.66,1145.58,72.2567,1249.8,1591.44,2122.84,743.995,453.363,727.505,932.539,1234.95,570.535,627.739,1566.65,1732.38,-1796.41
29,30,1291.67,-58.8079,-588.459,-547.771,331.41,-592.844,833.707,-1624.25,930.861,787.259,785.992,1306.65,1191.78,92.1734,446.473,1502.54,1815.57,2032.74,510.539,1297.57,-868.225,792.022,646.915,490.832,157.993,901.381,-2017.06
30,31,4554.59,4395.09,4693.92,765.376,429.698,527.226,868.756,1069.53,687.728,1226.41,569.805,1447.85,1965.47,5.36207,472.208,1617.06,4837.84,5645.07,3098.75,1426.35,4073.53,4194.01,644.288,544.768,2542.25,1025.91,-1678.21
31,32,5405.31,4820.28,860.394,1561.69,356.409,875.359,5643.38,3362.55,1344.24,1283.65,538.316,1547.57,2667.42,111.601,346.884,1502.87,4102.01,5544.93,2603.36,2627.52,5372.84,1320.05,1477.64,378.986,5607.3,1790.63,6014.5
32,33,1502.76,99.0099,-273.791,-275.977,386.856,544.049,1023.99,-1639.56,-133.175,917.134,501.694,1192.74,1486.76,35.1841,1115.48,1455.72,1391.21,-213.958,1111.69,-1696.23,-562.212,-1285.14,847.592,544.955,564.047,-528.274,-2432.43
33,34,6186.25,3417.15,3019.84,2842.98,2506.87,4048.79,4987.32,6001.32,6049.02,4472.82,627.004,3618.15,6144.43,7562.06,941.5,718.451,3601.73,1165.05,3955.64,3260.87,2019.46,2174.24,3731.51,5386.56,5958.9,4233.66,862.892
34,35,2537.28,832.526,594.221,348.453,494.142,179.553,438.308,-419.441,1615.1,1410.52,316.644,1919.42,1527.6,118.463,676.716,1790.56,2828.27,3087.25,2327.49,2814.14,343.845,509.574,1073.93,330.178,2065.48,1205.28,1590.45
35,36,2890.67,2958.03,231.125,2072.99,447.539,1196.75,412.887,-86.8558,-94.1918,1197.34,373.395,1403.31,1807.9,130.746,618.465,1698.95,4597.39,5559.45,4895.1,4899.81,4059.6,445.582,1065.11,367.56,1996.69,582.155,472.199
36,37,1410.93,58.7957,-313.002,-1088.46,340.807,-1158.82,-930.811,-1633.8,928.486,721.674,761.148,1205.67,1701.12,64.9652,527.566,1731.2,1711.38,246.077,113.802,1192.09,-1138.55,571.974,740.501,514.328,-231.945,547.217,-2417.33
37,38,1712.45,1076.19,2426.06,372.882,581.485,464.505,-752.688,-1972.09,1710.75,845.57,1106.72,2312.04,1477.94,56.9605,1619.61,1531.77,2288.95,1729.72,623.513,49.8806,1727.63,557.288,453.553,595.759,1474.56,2367.91,-1241.41
38,39,1478.18,282.444,-559.728,1728.99,494.947,466.439,2018.23,-1084.99,-872.224,853.444,504.933,3243.32,1899.39,-56.3297,897.556,1415.2,2412.31,692.786,1369.28,-101.13,30.9398,198.35,486.535,594.113,1603.71,2182.19,-1780.69
39,40,1327.12,466.407,1681.95,-731.915,-348.172,912.229,1266.94,1416.05,3268.28,-129.808,917.113,3715.96,1911.5,858.063,1206.12,1990.52,2768.2,1235.13,853.397,619.231,2799.14,2025.73,635.895,606.472,1709.21,2685.93,-668.486
40,41,2421.66,2409.1,1575.49,2044.03,321.751,1110.65,2161.79,2490.77,1416.9,464.997,406.886,1993.12,2299.88,81.4099,339.099,1730.63,3140.09,3675.31,2821.52,1359.13,2684.37,1158.86,1418.35,370.199,2691.86,1214.25,1563.39
41,42,1884.93,122.92,-467.425,2498.51,486.353,-783.714,369.261,-1843.26,-1535.12,1022.46,341.57,1988.95,1523.69,144.701,686.833,1576.94,2211.32,800.131,609.157,1636.39,-270.719,375.315,1207.41,341.784,2202.43,488.069,55.6102
42,43,1554.52,1440.85,1140.97,2175.54,342.645,1693.05,490.724,2211.24,1601.76,588.667,529.352,1810.7,2252.45,87.4539,472.895,1516.96,2122.11,2414.02,433.944,1182.25,-265.808,1958.95,917.981,421.217,209.437,222.222,-1585.57
43,44,2396.03,922.273,153.069,-148.954,455.629,270.849,562.432,481.494,1714.32,326.637,402.427,1596.89,1310.83,157.832,309.388,2053.42,2423.12,3121.1,1593.51,828.652,-99.5733,408.746,1286.27,354.311,1469.79,1170.51,934.052
44,45,1240.32,1483.42,-425.677,1655.28,437.16,938.51,531.48,-712.937,517.106,-365.232,459.102,1298.36,1132.42,42.8843,478.237,1644.82,1459.19,-325.699,141.911,1625.04,-1446.04,849.927,637.852,593.984,-467.48,644.576,-2356.07
45,46,6841.59,7064.16,7535.91,7623.85,409.633,530.44,5552.23,7136.5,2415.71,601.116,374.842,2040.95,2538.41,103.119,403.396,2211.67,5392.83,6920.48,6360.35,5556.75,6384.65,1810.48,1289.67,323.705,6079.08,1197.0,7138.86
46,47,1245.49,623.043,-639.263,-339.51,1672.27,-69.1057,2348.24,747.206,1290.51,27.7866,256.577,3191.11,1387.22,1001.6,1364.79,1839.93,2538.79,442.626,2185.04,-539.216,508.183,717.858,818.161,2413.76,1220.28,483.449,140.078
47,48,1722.43,601.057,-170.996,811.589,1231.47,621.693,1071.22,865.743,3539.32,504.084,80.9171,2669.45,1431.28,1016.6,812.75,2108.22,2594.5,578.625,2065.07,-346.399,2230.67,1014.54,1217.88,2201.93,1350.66,1676.46,-342.357
